dataset,muscle,mvc,participant,test
Violon,mid. delt.,0.00017316806956723342,2,4
Violon,mid. delt.,0.00018180238874772933,2,5
Violon,mid. delt.,0.00013881415445866056,2,8
Violon,mid. delt.,5.992051589986948e-05,2,9
Violon,mid. delt.,5.832289880565145e-05,2,10
Violon,post. delt.,0.00021781249670378404,2,2
Violon,post. delt.,6.836850835295536e-05,2,3
Violon,post. delt.,9.919052965137392e-05,2,4
Violon,post. delt.,0.00017453080613934153,2,5
Violon,post. delt.,3.753713607464062e-05,2,8
Violon,post. delt.,9.205555438347837e-05,2,9
Violon,post. delt.,0.00010558212778862702,2,10
Violon,supra.,0.0013483038624194656,2,2
Violon,supra.,0.0006222980292185465,2,3
Violon,supra.,0.0003438022671316118,2,4
Violon,supra.,0.0009151493294879366,2,5
Violon,supra.,7.679315269459481e-05,2,8
Violon,supra.,5.502741714519799e-05,2,9
Violon,supra.,0.00047107530188751005,2,10
Violon,infra.,0.00014685074393814017,2,2
Violon,infra.,0.00027344809359703846,2,3
Violon,infra.,0.00011220484044273755,2,4
Violon,infra.,7.450566148893823e-05,2,5
Violon,infra.,8.50560260391534e-05,2,8
Violon,infra.,0.00012843895698486774,2,9
Violon,infra.,0.00010625236787323574,2,10
Violon,subscap.,2.6947587521467367e-05,2,2
Violon,subscap.,8.605386790824943e-05,2,3
Violon,subscap.,0.00010368497086089929,2,4
Violon,subscap.,4.867540158304682e-05,2,5
Violon,subscap.,3.569640832041687e-05,2,8
Violon,subscap.,5.380605921433521e-05,2,9
Violon,subscap.,0.00010314841583708654,2,10
Violon,low. trap.,2.8326721176978415e-05,3,2
Violon,low. trap.,1.7910262930225785e-05,3,3
Violon,low. trap.,1.368989797699406e-05,3,4
Violon,low. trap.,0.0001174938523270785,3,5
Violon,low. trap.,1.1176984301458736e-05,3,8
Violon,low. trap.,4.081594226490737e-05,3,9
Violon,low. trap.,0.00012407230507855189,3,10
Violon,ant. delt.,0.00035249632993444456,3,2
Violon,ant. delt.,0.0003447916079564689,3,3
Violon,ant. delt.,0.0002822147396476797,3,4
Violon,ant. delt.,3.7720011240901125e-05,3,5
Violon,ant. delt.,0.0001270811889757526,3,8
Violon,ant. delt.,0.00012431017847673527,3,9
Violon,ant. delt.,1.588192989296577e-05,3,10
Violon,mid. delt.,0.0001190073432152542,3,2
Violon,mid. delt.,0.00011656975472665554,3,3
Violon,mid. delt.,0.00010991931572352609,3,4
Violon,mid. delt.,7.878322620427221e-05,3,5
Violon,mid. delt.,0.00010115947904042969,3,8
Violon,mid. delt.,4.842730766350676e-05,3,9
Violon,mid. delt.,5.2863209959504425e-05,3,10
Violon,post. delt.,0.00011438473044110933,3,2
Violon,post. delt.,8.818458986811324e-05,3,3
Violon,post. delt.,8.728049350073173e-05,3,4
Violon,post. delt.,0.0003372364809761121,3,5
Violon,post. delt.,0.0002032902936769259,3,8
Violon,post. delt.,8.27117489808898e-05,3,9
Violon,post. delt.,0.000186112294012981,3,10
Violon,supra.,0.00023702253738191586,3,2
Violon,supra.,0.000211310117221865,3,3
Violon,supra.,0.0002825458807037209,3,4
Violon,supra.,0.0003366949459309967,3,5
Violon,supra.,0.00024451311874477684,3,8
Violon,supra.,0.00019507846206672297,3,9
Violon,supra.,0.00010447065312484233,3,10
Violon,infra.,0.0004718377787916485,3,2
Violon,infra.,0.0005044178346820197,3,3
Violon,infra.,0.0011824963061599176,3,4
Violon,infra.,0.0013498091695910634,3,5
Violon,infra.,0.0012585546442525546,3,8
Violon,infra.,0.0008023872034713202,3,9
Violon,infra.,0.0006048252828990413,3,10
Violon,subscap.,6.244067516309807e-05,3,2
Violon,subscap.,3.290779870254715e-05,3,3
Violon,subscap.,6.901363833044846e-05,3,4
Violon,subscap.,0.00015323634341466417,3,5
Violon,subscap.,0.00010884420007329568,3,8
Violon,subscap.,6.896411300131672e-05,3,9
Violon,subscap.,0.00023621540972952525,3,10
Violon,low. trap.,5.216625375023998e-05,4,2
Violon,low. trap.,4.987943295764842e-05,4,3
Violon,low. trap.,1.776505305868598e-05,4,4
Violon,low. trap.,3.4271972064249404e-05,4,5
Violon,low. trap.,1.8328284792414482e-05,4,8
Violon,low. trap.,2.7831012678446426e-05,4,9
Violon,low. trap.,2.644755846459253e-05,4,10
Violon,ant. delt.,0.00018406249067289357,4,2
Violon,ant. delt.,0.00016394604509356478,4,3
Violon,ant. delt.,0.00020330593211595222,4,4
Violon,ant. delt.,2.920122305368926e-05,4,5
Violon,ant. delt.,0.00010341572761167589,4,8
Violon,ant. delt.,5.5922740765425783e-05,4,9
Violon,ant. delt.,1.8467326528598368e-05,4,10
Violon,mid. delt.,0.0004912868280562938,4,2
Violon,mid. delt.,0.00036029121420074075,4,3
Violon,mid. delt.,0.00043750230865033564,4,4
Violon,mid. delt.,0.0005644298090287916,4,5
Violon,mid. delt.,0.00042592883413836223,4,8
Violon,mid. delt.,0.00043522632490001876,4,9
Violon,mid. delt.,0.0002646479052509663,4,10
Violon,post. delt.,0.00011964282505117005,4,2
Violon,post. delt.,0.00013320173806609658,4,3
Violon,post. delt.,4.228645973754164e-05,4,4
Violon,post. delt.,0.00020099157919639763,4,5
Violon,post. delt.,0.00011104960873998984,4,8
Violon,post. delt.,0.0001714126568728325,4,9
Violon,post. delt.,0.0001431305512808631,4,10
Violon,supra.,0.0010074744766397407,4,2
Violon,supra.,0.0010634795468726704,4,3
Violon,supra.,0.0010672687092638192,4,4
Violon,supra.,0.0010744766318398404,4,5
Violon,supra.,0.0008424936640265223,4,8
Violon,supra.,0.0006542795468962056,4,9
Violon,supra.,0.0004230549309520451,4,10
Violon,infra.,0.00025851229240625353,4,2
Violon,infra.,0.000216182426553352,4,3
Violon,infra.,0.00016882543695035955,4,4
Violon,infra.,0.00013076183944570944,4,5
Violon,infra.,0.0001286991544493868,4,8
Violon,infra.,0.00021050643008655074,4,9
Violon,infra.,7.22003922556351e-05,4,10
Violon,subscap.,0.00024119804126575172,4,2
Violon,subscap.,0.00014225437923483984,4,3
Violon,subscap.,0.0004083895454022057,4,4
Violon,subscap.,0.00071651607951398,4,5
Violon,subscap.,0.00031139649095678036,4,8
Violon,subscap.,0.00017874436470745293,4,9
Violon,subscap.,0.001616320141125156,4,10
Violon,low. trap.,2.5387059554833483e-05,5,2
Violon,low. trap.,1.5082045793180748e-05,5,3
Violon,low. trap.,1.2953915989696818e-05,5,4
Violon,low. trap.,3.3933236559572985e-05,5,5
Violon,ant. delt.,0.00010514781614096242,5,2
Violon,ant. delt.,0.00023148346784331085,5,3
Violon,ant. delt.,0.00011565506108927547,5,4
Violon,ant. delt.,2.3600711767805794e-05,5,5
Violon,mid. delt.,9.560096389626659e-05,5,2
Violon,mid. delt.,0.00015746656895726695,5,3
Violon,mid. delt.,0.0001329370645252807,5,4
Violon,mid. delt.,0.00011116564401851442,5,5
Violon,post. delt.,5.145501586911561e-05,5,2
Violon,post. delt.,4.668911694268757e-05,5,3
Violon,post. delt.,5.39023198352289e-05,5,4
Violon,post. delt.,7.746584770544325e-05,5,5
Violon,supra.,0.0003081690342359429,5,9
Violon,infra.,0.00012553223873372867,5,9
Violon,subscap.,3.9089835598037896e-07,5,9
Violon,low. trap.,8.850221097280735e-05,6,2
Violon,low. trap.,3.9041897170347116e-05,6,3
Violon,low. trap.,5.3584255847148637e-05,6,4
Violon,low. trap.,0.00011873241873429653,6,5
Violon,ant. delt.,0.00021935081958420545,6,2
Violon,ant. delt.,0.0001605243037089602,6,3
Violon,ant. delt.,0.00012665601323544519,6,4
Violon,ant. delt.,0.0001164533835478886,6,5
Violon,mid. delt.,0.00014420271274448421,6,2
Violon,mid. delt.,0.0001180144991942471,6,3
Violon,mid. delt.,0.00013218402539249928,6,4
Violon,mid. delt.,0.0001386242023123849,6,5
Violon,post. delt.,4.1319334603681556e-05,6,2
Violon,post. delt.,2.4031064686671e-05,6,3
Violon,post. delt.,1.8913904418665268e-05,6,4
Violon,post. delt.,2.9034449670863527e-05,6,5
Violon,low. trap.,6.070056733359117e-05,7,2
Violon,low. trap.,3.990343343720769e-05,7,3
Violon,low. trap.,3.6968239884742715e-05,7,4
Violon,low. trap.,7.19596967605092e-05,7,5
Violon,low. trap.,4.303581439250582e-05,7,8
Violon,low. trap.,7.935148330415136e-05,7,9
Violon,low. trap.,4.938559214522078e-05,7,10
Violon,ant. delt.,0.0001823652094431208,7,2
Violon,ant. delt.,0.0002571646113759359,7,3
Violon,ant. delt.,0.00021654230620760069,7,4
Violon,ant. delt.,5.031878045178859e-05,7,5
Violon,ant. delt.,0.00032953901984446576,7,8
Violon,ant. delt.,0.0001775364119542074,7,9
Violon,ant. delt.,1.8320745755545717e-05,7,10
Violon,mid. delt.,0.0001403902262501754,7,2
Violon,mid. delt.,0.00011910778889623989,7,3
Violon,mid. delt.,0.00019506938602258006,7,4
Violon,mid. delt.,0.00016032700623914344,7,5
Violon,mid. delt.,0.00016965966850162782,7,8
Violon,mid. delt.,0.0001381246254806856,7,9
Violon,mid. delt.,0.00010309032039078085,7,10
Violon,post. delt.,9.013213112282809e-05,7,2
Violon,post. delt.,4.865914528130802e-05,7,3
Violon,post. delt.,7.296304536594196e-05,7,4
Violon,post. delt.,0.0001751803515914578,7,5
Violon,post. delt.,0.00020626172254321675,7,8
Violon,post. delt.,7.464031268529514e-05,7,9
Violon,post. delt.,0.00017787422075805275,7,10
Violon,supra.,0.0007767886409817071,7,2
Violon,supra.,0.0007448202290964161,7,3
Violon,supra.,0.0009354492836021618,7,4
Violon,supra.,0.0010242460635768182,7,5
Violon,supra.,0.0007783680029642488,7,8
Violon,supra.,0.0004145463649925864,7,9
